ID,styles,Similarities,time period,functionality,traffic,horizontal,vertical,dynamic,shape,details,orientation,lighting,intensity,fixtures,vibrancy,statement,tone,finish,feel,ambience,prints,style
65,Northwestern,"Modern, Traditional",3,2,2,3,2,3,2,5,4,2,2,4,1,4,2,3,4,3,3,3
66,Old world,"European, Medieval, Renaissance, Traditional, Rustic",1,1,2,1,1,3,2,1,1,3,3,2,2,5,1,4,3,2,1,5
67,Organic,,4,5,5,4,2,5,5,5,4,1,1,5,5,1,5,1,1,1,5,2
68,Palladian,"Greek, Italian",2,2,2,2,1,3,1,2,2,2,2,3,5,3,5,3,4,2,2,4
69,Parisian,"Eclectic, Traditional, Modern",4,2,2,2,3,4,2,1,3,3,2,2,2,4,3,4,4,3,2,4
70,Pennsylvania Dutch,"Rustic, Farmhouse, Amish",2,3,3,3,3,3,2,5,3,2,3,3,3,3,3,2,3,2,3,3
71,Plantation,British Colonial,3,2,3,1,3,4,2,2,2,2,2,4,4,2,2,2,3,1,2,4
72,Post Modern,Contemporary,5,2,2,3,2,3,2,3,3,5,2,3,1,5,3,5,3,3,4,2
73,Puritan,"Traditional, Farmhouse",3,3,3,3,4,5,3,1,2,2,3,3,5,2,2,2,3,1,2,4
74,Queen Anne,"Victorian, British Colonial",3,1,2,1,2,4,2,1,3,2,2,1,4,5,2,3,4,1,1,5
75,Regal,,3,1,1,1,3,5,2,1,1,3,3,1,1,5,1,5,5,1,1,5
76,Regence,French,2,1,2,1,2,4,1,1,2,3,1,2,2,3,4,5,5,1,1,5
77,Regency,,4,1,1,4,3,2,1,1,2,5,1,1,1,5,1,5,5,5,1,5
78,Renaissance,European,1,1,2,2,2,5,2,1,2,1,4,2,3,4,2,3,4,2,2,4
79,Retro,"Vintage, Eclectic, Bohemian",5,3,3,5,3,2,2,4,3,3,3,3,1,5,2,5,5,3,3,3
80,Revival,"Greek, Gothic, Egyptian, Rococo",3,2,2,3,3,3,1,1,2,2,2,2,4,3,2,3,5,3,2,4
81,Rietveld,Arts and Craft,4,4,3,4,3,3,2,4,2,4,2,4,3,4,2,5,4,2,4,2
82,Rococo,"French, Baroque, Asian",2,1,2,2,2,5,1,1,4,2,2,3,4,3,4,4,4,1,1,4
83,Romantic,,3,3,3,3,4,4,3,3,4,2,4,4,3,1,4,5,3,2,3,3
84,Russian,Country,3,3,3,3,3,4,1,2,3,2,2,3,1,3,1,3,3,3,2,3
85,Rustic,Romantic,3,3,3,3,1,3,3,3,4,2,2,4,5,1,4,1,3,2,3,3
86,Scandinavian,"Russian, Rustic",5,5,5,2,2,4,2,4,3,2,2,4,5,2,4,3,3,2,4,2
87,Shabby Chic,"Rustic, French Provencial, Cottage",5,3,2,4,2,3,3,3,3,3,3,3,2,2,4,3,3,2,2,3
88,Shaker,,3,4,5,3,3,4,2,5,2,4,3,4,4,2,4,5,5,2,3,3
89,Southwestern,,4,2,2,4,3,2,4,3,3,3,2,2,1,5,1,2,2,4,2,4
90,Space Age,"Retro, Mid century modern",5,2,2,5,4,2,2,4,3,4,4,4,1,5,2,5,5,4,4,4
91,Spanish Renaissance,"Renaissance, Mediterranean",1,2,2,1,2,5,2,1,1,2,3,2,2,4,1,3,4,2,1,5
92,Steampunk,"Industrial, Machine age, Vintage",4,3,3,4,3,2,2,5,3,4,5,3,2,5,2,4,1,4,2,4
93,Swedish,"Modern, MInimal",4,5,5,3,3,5,4,5,4,3,3,5,5,2,4,3,3,1,5,1
94,Traditional,"Tudor, Regence, Georgian",1,2,2,2,2,3,2,1,3,3,2,2,5,2,3,2,4,2,2,4
95,Transitional,"Traditional, Contemporary",5,3,3,3,3,5,1,4,1,3,3,4,1,4,1,5,4,2,3,3
96,Tropical,"Beach house, French Provencial",4,3,3,3,2,4,4,4,4,1,1,5,3,3,1,2,4,2,3,3
97,Tudor,Medieval,1,1,2,1,2,3,2,1,1,3,3,2,3,4,1,2,3,3,1,5
98,Tuscan,Mediterranean,4,2,2,1,1,5,1,1,1,2,5,2,4,5,1,1,4,2,1,5
99,Urban,Industrial,5,4,4,4,4,2,4,5,4,2,4,3,3,4,3,1,1,4,5,3
100,Venetian,Gothic,4,2,2,2,2,4,2,1,2,2,3,2,3,4,1,4,3,2,1,4
101,Victorian,Regal,3,1,1,1,3,4,2,1,2,3,3,1,3,5,1,3,3,1,1,5
102,Vintage,"Eclectic, Vintage",5,3,3,3,3,2,2,4,3,4,5,3,1,5,3,4,4,3,2,3
103,Western,"Rustic, Tuscan",3,2,2,2,2,3,2,1,1,2,3,2,4,5,1,1,4,2,1,5
104,William & Mary,,2,2,2,2,3,4,1,2,2,3,3,2,4,3,2,3,3,3,1,5
105,Zen,Japanese,3,5,5,1,3,5,3,5,2,2,2,5,5,1,5,2,4,1,4,1
